"id","rank","rankUpDown","title","fullTitle","year","image","crew","imDbRating","imDbRatingCount"
"tt10121392","1","+6","Thunder Force","Thunder Force (2021)","2021","https://m.media-amazon.com/images/M/MV5BMWZkM2I2NjEtNWM0Mi00MTgwLWJlYTAtYmNkZWYzNmQ1ZTBiXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UX128_CR0,3,128,176_AL_.jpg","Ben Falcone (dir.), Melissa McCarthy, Octavia Spencer","4.4","24302"
"tt0293429","2","+2","Mortal Kombat","Mortal Kombat (2021)","2021","https://m.media-amazon.com/images/M/MV5BY2ZlNWIxODMtN2YwZi00ZjNmLWIyN2UtZTFkYmZkNDQyNTAyXkEyXkFqcGdeQXVyODkzNTgxMDg@._V1_UX128_CR0,3,128,176_AL_.jpg","Simon McQuoid (dir.), Lewis Tan, Jessica McNamee","6.7","16037"
"tt5034838","3","-2","Godzilla vs. Kong","Godzilla vs. Kong (2021)","2021","https://m.media-amazon.com/images/M/MV5BZmYzMzU4NjctNDI0Mi00MGExLWI3ZDQtYzQzYThmYzc2ZmNjXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_UX128_CR0,3,128,176_AL_.jpg","Adam Wingard (dir.), Alexander Skarsg<U+00E5>rd, Millie Bobby Brown","6.5","104968"
"tt7888964","4","+5","Nobody","Nobody (2021)","2021","https://m.media-amazon.com/images/M/MV5BMjM5YTRlZmUtZGVmYi00ZjE2LWIyNzAtOWVhMDk1MDdkYzhjXkEyXkFqcGdeQXVyMjMxOTE0ODA@._V1_UX128_CR0,3,128,176_AL_.jpg","Ilya Naishuller (dir.), Bob Odenkirk, Aleksey Serebryakov","7.5","41397"
"tt0993840","5","+135","Army of the Dead","Army of the Dead (2021)","2021","https://m.media-amazon.com/images/M/MV5BNGY0NzgzYzctYWQwMC00MzM2LThjNGMtZjFjMWUyNzg0ZmM0XkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_UX128_CR0,3,128,176_AL_.jpg","Zack Snyder (dir.), Dave Bautista, Ella Purnell","","0"
"tt5433138","6","+153","F9","F9 (2021)","2021","https://m.media-amazon.com/images/M/MV5BMjI0NmFkYzEtNzU2YS00NTg5LWIwYmMtNmQ1MTU0OGJjOTMxXkEyXkFqcGdeQXVyMjMxOTE0ODA@._V1_UX128_CR0,3,128,176_AL_.jpg","Justin Lin (dir.), Vin Diesel, Michelle Rodriguez","","0"
"tt12361974","7","-4","Zack Snyder's Justice League","Zack Snyder's Justice League (2021)","2021","https://m.media-amazon.com/images/M/MV5BYjI3NDg0ZTEtMDEwYS00YWMyLThjYjktMTNlM2NmYjc1OGRiXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_UX128_CR0,3,128,176_AL_.jpg","Zack Snyder (dir.), Henry Cavill, Ben Affleck","8.1","267244"
"tt2222042","8","+255","Love and Monsters","Love and Monsters (2020)","2020","https://m.media-amazon.com/images/M/MV5BYWVkMWEyMDUtZTVmOC00MTYxLWE1ZTUtNjk4M2IzMjY2OTIxXkEyXkFqcGdeQXVyMDk5Mzc5MQ@@._V1_UX128_CR0,3,128,176_AL_.jpg","Michael Matthews (dir.), Dylan O'Brien, Jessica Henwick","7.0","61293"
"tt9620292","9","+7","Promising Young Woman","Promising Young Woman (2020)","2020","https://m.media-amazon.com/images/M/MV5BOTI0OGQzOWEtZWY1ZC00MTFjLThmODAtYWQ3MDk4ZGEyNGYyXkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_UX128_CR0,3,128,176_AL_.jpg","Emerald Fennell (dir.), Carey Mulligan, Bo Burnham","7.5","76298"
"tt10272386","10","+2","The Father","The Father (2020)","2020","https://m.media-amazon.com/images/M/MV5BZGJhNWRiOWQtMjI4OS00ZjcxLTgwMTAtMzQ2ODkxY2JkOTVlXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX128_CR0,3,128,176_AL_.jpg","Florian Zeller (dir.), Anthony Hopkins, Olivia Colman","8.3","35259"
"tt9770150","11","+15","Nomadland","Nomadland (2020)","2020","https://m.media-amazon.com/images/M/MV5BMDRiZWUxNmItNDU5Yy00ODNmLTk0M2ItZjQzZTA5OTJkZjkyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX128_CR0,3,128,176_AL_.jpg","Chlo¨¦ Zhao (dir.), Frances McDormand, David Strathairn","7.5","58084"
"tt4682266","12","+425","The New Mutants","The New Mutants (2020)","2020","https://m.media-amazon.com/images/M/MV5BZDQ2NTdmNDgtMGIwMS00ODE2LTk5M2EtZGZhYzc4MWRlNTU3XkEyXkFqcGdeQXVyNTc4MjczMTM@._V1_UX128_CR0,3,128,176_AL_.jpg","Josh Boone (dir.), Maisie Williams, Anya Taylor-Joy","5.3","51411"
"tt6902332","13","+663","The Marksman","The Marksman (2021)","2021","https://m.media-amazon.com/images/M/MV5BODdlNThhMTUtNmU1OS00ZjM3LWE1ZjMtOWViN2RhYWRiZTg5XkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_UX128_CR0,3,128,176_AL_.jpg","Robert Lorenz (dir.), Katheryn Winnick, Liam Neeson","5.6","6987"
"tt5363618","14","+13","Sound of Metal","Sound of Metal (2019)","2019","https://m.media-amazon.com/images/M/MV5BNjcyYjg0M2ItMzMyZS00NmM1LTlhZDMtN2MxN2RhNWY4YTkwXkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_UX128_CR0,3,128,176_AL_.jpg","Darius Marder (dir.), Riz Ahmed, Olivia Cooke","7.8","66350"
"tt3215824","15","0","Those Who Wish Me Dead","Those Who Wish Me Dead (2021)","2021","https://m.media-amazon.com/images/M/MV5BYTEyNDEzNjAtNjIyNy00ZGYxLWJjNDYtNTJhM2JhYjIxYTBmXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_UX128_CR0,3,128,176_AL_.jpg","Taylor Sheridan (dir.), Angelina Jolie, Nicholas Hoult","","0"
"tt6334354","16","-10","The Suicide Squad","The Suicide Squad (2021)","2021","https://m.media-amazon.com/images/M/MV5BNGM3YzdlOWYtNjViZS00MTE2LWE1MWUtZmE2ZTcxZjcyMmU3XkEyXkFqcGdeQXVyODEyMTI1MjA@._V1_UX128_CR0,3,128,176_AL_.jpg","James Gunn (dir.), Margot Robbie, Idris Elba","","0"
"tt9484998","17","+45","Palm Springs","Palm Springs (2020)","2020","https://m.media-amazon.com/images/M/MV5BYjk0MTgzMmQtZmY2My00NmE5LWExNGUtYjZkNTA3ZDkyMTJiXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX128_CR0,3,128,176_AL_.jpg","Max Barbakow (dir.), Andy Samberg, Cristin Milioti","7.4","102242"
"tt8368512","18","+62","The Courier","The Courier (2020)","2020","https://m.media-amazon.com/images/M/MV5BYjg4YTJlNzMtY2U0OC00N2FjLWI0ZTgtNGM1NDRhMWNhZmRkXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UX128_CR0,3,128,176_AL_.jpg","Dominic Cooke (dir.), Benedict Cumberbatch, Merab Ninidze","7.1","6370"
"tt2076822","19","-9","Chaos Walking","Chaos Walking (2021)","2021","https://m.media-amazon.com/images/M/MV5BYTcxYTk3MWQtZThlMS00ZjQ0LTg0NjktNGVkNWM2MTAyYWJmXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_UX128_CR0,3,128,176_AL_.jpg","Doug Liman (dir.), Tom Holland, Daisy Ridley","5.7","15162"
"tt8385148","20","+621","The Hitman's Wife's Bodyguard","The Hitman's Wife's Bodyguard (2021)","2021","https://m.media-amazon.com/images/M/MV5BNDkzYmNiOWYtNzZkNi00NzNiLTk2MzktY2VmMGY4MmI1NDMwXkEyXkFqcGdeQXVyMjMxOTE0ODA@._V1_UY176_CR6,0,128,176_AL_.jpg","Patrick Hughes (dir.), Ryan Reynolds, Frank Grillo","","0"
"tt5109280","21","-1","Raya and the Last Dragon","Raya and the Last Dragon (2021)","2021","https://m.media-amazon.com/images/M/MV5BZWNiOTc4NGItNGY4YS00ZGNkLThkOWEtMDE2ODcxODEwNjkwXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX128_CR0,3,128,176_AL_.jpg","Don Hall (dir.), Kelly Marie Tran, Awkwafina","7.4","48537"
"tt0116483","22","+384","Happy Gilmore","Happy Gilmore (1996)","1996","https://m.media-amazon.com/images/M/MV5BZWI2NjliOTYtZjE1OS00YzAyLWJjYTQtYWNmZTQzMTQzNzVjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX128_CR0,3,128,176_AL_.jpg","Dennis Dugan (dir.), Adam Sandler, Christopher McDonald","7.0","200830"
"tt9664108","23","-2","Voyagers","Voyagers (2021)","2021","https://m.media-amazon.com/images/M/MV5BZDIzODQyODQtYzIyYy00MDE5LWJmZjMtMDRmYTRkNzAyZjAzXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_UX128_CR0,3,128,176_AL_.jpg","Neil Burger (dir.), Colin Farrell, Tye Sheridan","5.4","896"
"tt3480822","24","-22","Black Widow","Black Widow (2021)","2021","https://m.media-amazon.com/images/M/MV5BYjdmODAzNTctNWU1NS00ZmRiLWFiM2YtMjAyNzgzZWJlZjhlXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_UX128_CR0,3,128,176_AL_.jpg","Cate Shortland (dir.), Scarlett Johansson, Florence Pugh","","0"
"tt9264728","25","-17","What Lies Below","What Lies Below (2020)","2020","https://m.media-amazon.com/images/M/MV5BOGQ4ZWM4NjctZDcwMS00OTJjLTljNmUtYWY4ODU3MjlkOGViXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_UX128_CR0,3,128,176_AL_.jpg","Braden R. Duemmler (dir.), Ema Horvath, Troy Iwata","4.4","3921"
